# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ramips/mt7621/profiles.json
# Generated on: Sun Apr 20 17:51:07 CEST 2025

adslr_g7 | ADSLR | G7 | ADSLR G7
gnubee_gb-pc2 | GnuBee | Personal Cloud Two | GnuBee Personal Cloud Two
h3c_tx1800-plus | H3C | TX1800 Plus | H3C TX1800 Plus
h3c_tx1801-plus | H3C | TX1801 Plus | H3C TX1801 Plus
h3c_tx1806 | H3C | TX1806 | H3C TX1806
haier_har-20s2u1 | Haier | HAR-20S2U1 | Haier HAR-20S2U1
hanyang_hyc-g920 | Hanyang | CJ-Hello HYC-G920 | Hanyang CJ-Hello HYC-G920
hilink_hlk-7621a-evb | HiLink | HLK-7621A evaluation board | HiLink HLK-7621A evaluation board
hiwifi_hc5962 | HiWiFi | HC5962 | HiWiFi HC5962
huasifei_ws1208v2 | Huasifei | WS1208V2 | Huasifei WS1208V2
humax_e10 | HUMAX | E10 | HUMAX E10
iodata_wn-ax1167gr | I-O DATA | WN-AX1167GR | I-O DATA WN-AX1167GR
iodata_wn-ax1167gr2 | I-O DATA | WN-AX1167GR2 | I-O DATA WN-AX1167GR2
iodata_wn-ax2033gr | I-O DATA | WN-AX2033GR | I-O DATA WN-AX2033GR
iodata_wn-dx1167r | I-O DATA | WN-DX1167R | I-O DATA WN-DX1167R
iodata_wn-dx1200gr | I-O DATA | WN-DX1200GR | I-O DATA WN-DX1200GR
iodata_wn-dx2033gr | I-O DATA | WN-DX2033GR | I-O DATA WN-DX2033GR
iodata_wn-gx300gr | I-O DATA | WN-GX300GR | I-O DATA WN-GX300GR
iodata_wnpr2600g | I-O DATA | WNPR2600G | I-O DATA WNPR2600G
iptime_a3002mesh | ipTIME | A3002MESH | ipTIME A3002MESH
iptime_a3004ns-dual | ipTIME | A3004NS-dual | ipTIME A3004NS-dual
iptime_a3004t | ipTIME | A3004T | ipTIME A3004T
iptime_a6004ns-m | ipTIME | A6004NS-M | ipTIME A6004NS-M
iptime_a6ns-m | ipTIME | A6ns-M | ipTIME A6ns-M
iptime_a8004t | ipTIME | A8004T | ipTIME A8004T
iptime_ax2004m | ipTIME | AX2004M | ipTIME AX2004M
iptime_t5004 | ipTIME | T5004 | ipTIME T5004
jcg_jhr-ac876m | JCG | JHR-AC876M | JCG JHR-AC876M
jcg_q20 | JCG | Q20 | JCG Q20
jcg_y2 | JCG | Y2 | JCG Y2
keenetic_kn-3010 | Keenetic | KN-3010 | Keenetic KN-3010
lenovo_newifi-d1 | Lenovo | Newifi D1 | Lenovo Newifi D1
linksys_e5600 | Linksys | E5600 | Linksys E5600
linksys_e7350 | Linksys | E7350 | Linksys E7350
linksys_ea6350-v4 | Linksys | EA6350 | Linksys EA6350 (v4)
linksys_ea7300-v1 | Linksys | EA7300 | Linksys EA7300 (v1)
linksys_ea7300-v2 | Linksys | EA7300 | Linksys EA7300 (v2)
linksys_ea7500-v2 | Linksys | EA7500 | Linksys EA7500 (v2)
linksys_ea8100-v1 | Linksys | EA8100 | Linksys EA8100 (v1)
linksys_ea8100-v2 | Linksys | EA8100 | Linksys EA8100 (v2)
linksys_re6500 | Linksys | RE6500 | Linksys RE6500
linksys_re7000 | Linksys | RE7000 | Linksys RE7000
mediatek_ap-mt7621a-v60 | Mediatek | AP-MT7621A-V60 EVB | Mediatek AP-MT7621A-V60 EVB
mediatek_mt7621-eval-board | MediaTek | MT7621 EVB | MediaTek MT7621 EVB
meig_slt866 | MeiG | SLT866 | MeiG SLT866
mercusys_mr70x-v1 | MERCUSYS | MR70X | MERCUSYS MR70X (v1)
mikrotik_ltap-2hnd | MikroTik | LtAP-2HnD | MikroTik LtAP-2HnD
mikrotik_routerboard-750gr3 | MikroTik | RouterBOARD 750Gr3 | MikroTik RouterBOARD 750Gr3
mikrotik_routerboard-760igs | MikroTik | RouterBOARD 760iGS | MikroTik RouterBOARD 760iGS
mikrotik_routerboard-m11g | MikroTik | RouterBOARD M11G | MikroTik RouterBOARD M11G
mikrotik_routerboard-m33g | MikroTik | RouterBOARD M33G | MikroTik RouterBOARD M33G
mqmaker_witi | MQmaker | WiTi | MQmaker WiTi
mtc_wr1201 | MTC | Wireless Router WR1201 | MTC Wireless Router WR1201
mts_wg430223 | MTS | WG430223 | MTS WG430223
netgear_eax12 | NETGEAR | EAX12 | NETGEAR EAX12
netgear_ex6150 | NETGEAR | EX6150 | NETGEAR EX6150
netgear_r6220 | NETGEAR | R6220 | NETGEAR R6220
netgear_r6260 | NETGEAR | R6260 | NETGEAR R6260
netgear_r6350 | NETGEAR | R6350 | NETGEAR R6350
netgear_r6700-v2 | NETGEAR | R6700 | NETGEAR R6700 (v2)
netgear_r6800 | NETGEAR | R6800 | NETGEAR R6800
netgear_r6850 | NETGEAR | R6850 | NETGEAR R6850
netgear_r6900-v2 | NETGEAR | R6900 | NETGEAR R6900 (v2)
netgear_r7200 | NETGEAR | R7200 | NETGEAR R7200
netgear_r7450 | NETGEAR | R7450 | NETGEAR R7450
netgear_wac104 | NETGEAR | WAC104 | NETGEAR WAC104
netgear_wac124 | NETGEAR | WAC124 | NETGEAR WAC124
netgear_wax202 | NETGEAR | WAX202 | NETGEAR WAX202
netgear_wndr3700-v5 | NETGEAR | WNDR3700 | NETGEAR WNDR3700 (v5)
netis_wf2881 | NETIS | WF2881 | NETIS WF2881
oraybox_x3a | OrayBox | X3A | OrayBox X3A
phicomm_k2p | Phicomm | K2P | Phicomm K2P
planex_vr500 | Planex | VR500 | Planex VR500
raisecom_msg1500-x-00 | RAISECOM | MSG1500 | RAISECOM MSG1500 (X.00)
renkforce_ws-wn530hp3-a | Renkforce | WS-WN530HP3-A | Renkforce WS-WN530HP3-A
rostelecom_rt-fe-1a | Rostelecom | RT-FE-1A | Rostelecom RT-FE-1A
rostelecom_rt-sf-1 | Rostelecom | RT-SF-1 | Rostelecom RT-SF-1
samknows_whitebox-v8 | SamKnows | Whitebox 8 | SamKnows Whitebox 8
sercomm_na502 | SERCOMM | NA502 | SERCOMM NA502
sercomm_na502s | SERCOMM | NA502S | SERCOMM NA502S
sim_simax1800t | SIM | SIMAX1800T | SIM SIMAX1800T
snr_snr-cpe-me1 | SNR | SNR-CPE-ME1 | SNR SNR-CPE-ME1
snr_snr-cpe-me2-lite | SNR | SNR-CPE-ME2-Lite | SNR SNR-CPE-ME2-Lite
snr_snr-cpe-me2-sfp | SNR | SNR-CPE-ME2-SFP | SNR SNR-CPE-ME2-SFP
storylink_sap-g3200u3 | STORYLiNK | SAP-G3200U3 | STORYLiNK SAP-G3200U3
telco-electronics_x1 | Telco Electronics | X1 | Telco Electronics X1
tenbay_t-mb5eu-v01 | Tenbay | T-MB5EU-V01 | Tenbay T-MB5EU-V01
thunder_timecloud | Thunder | Timecloud | Thunder Timecloud
totolink_a7000r | TOTOLINK | A7000R | TOTOLINK A7000R
totolink_x5000r | TOTOLINK | X5000R | TOTOLINK X5000R
tozed_zlt-s12-pro | TOZED | ZLT S12 PRO | TOZED ZLT S12 PRO
tplink_archer-a6-v3 | TP-Link | Archer A6 | TP-Link Archer A6 (V3)
tplink_archer-ax23-v1 | TP-Link | Archer AX23 | TP-Link Archer AX23 (v1)
tplink_archer-c6-v3 | TP-Link | Archer C6 | TP-Link Archer C6 (V3)
tplink_archer-c6u-v1 | TP-Link | Archer C6U | TP-Link Archer C6U (v1)
tplink_deco-m4r-v4 | TP-Link | Deco M4R | TP-Link Deco M4R (v4)
