# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
ubnt_powerbeam-5ac-500 | Ubiquiti | PowerBeam 5AC | Ubiquiti PowerBeam 5AC (500)
ubnt_powerbeam-5ac-gen2 | Ubiquiti | PowerBeam 5AC | Ubiquiti PowerBeam 5AC (Gen2)
ubnt_powerbeam-m2-xw | Ubiquiti | PowerBeam M2 | Ubiquiti PowerBeam M2 (XW)
ubnt_powerbeam-m5-xw | Ubiquiti | PowerBeam M5 | Ubiquiti PowerBeam M5 (XW)
ubnt_powerbridge-m | Ubiquiti | PowerBridge M | Ubiquiti PowerBridge M (XM)
ubnt_rocket-5ac-lite | Ubiquiti | Rocket 5AC | Ubiquiti Rocket 5AC (Lite)
ubnt_rocket-m | Ubiquiti | Rocket M | Ubiquiti Rocket M (XM)
ubnt_routerstation | Ubiquiti | RouterStation | Ubiquiti RouterStation
ubnt_routerstation-pro | Ubiquiti | RouterStation Pro | Ubiquiti RouterStation Pro
ubnt_uk-ultra | Ubiquiti | UniFi Swiss Army Knife Ultra | Ubiquiti UniFi Swiss Army Knife Ultra
ubnt_unifi-ap | Ubiquiti | UniFi AP | Ubiquiti UniFi AP
ubnt_unifi-ap-lr | Ubiquiti | UniFi AP | Ubiquiti UniFi AP (LR)
ubnt_unifi-ap-outdoor-plus | Ubiquiti | UniFi AP Outdoor+ | Ubiquiti UniFi AP Outdoor+
ubnt_unifi-ap-pro | Ubiquiti | UniFi AP Pro | Ubiquiti UniFi AP Pro
ubnt_unifiac-lite | Ubiquiti | UniFi AC Lite | Ubiquiti UniFi AC Lite
ubnt_unifiac-lr | Ubiquiti | UniFi AC LR | Ubiquiti UniFi AC LR
ubnt_unifiac-mesh | Ubiquiti | UniFi AC Mesh | Ubiquiti UniFi AC Mesh
ubnt_unifiac-mesh-pro | Ubiquiti | UniFi AC Mesh Pro | Ubiquiti UniFi AC Mesh Pro
ubnt_unifiac-pro | Ubiquiti | UniFi AC Pro | Ubiquiti UniFi AC Pro
wallys_dr531 | Wallys | DR531 | Wallys DR531
watchguard_ap100 | WatchGuard | AP100 | WatchGuard AP100
watchguard_ap200 | WatchGuard | AP200 | WatchGuard AP200
watchguard_ap300 | WatchGuard | AP300 | WatchGuard AP300
wd_mynet-n600 | Western Digital | My Net N600 | Western Digital My Net N600
wd_mynet-n750 | Western Digital | My Net N750 | Western Digital My Net N750
winchannel_wb2000 | Winchannel | WB2000 | Winchannel WB2000
xiaomi_aiot-ac2350 | Xiaomi | AIoT AC2350 | Xiaomi AIoT AC2350
xiaomi_mi-router-4q | Xiaomi | Mi Router 4Q | Xiaomi Mi Router 4Q
yuncore_a770 | YunCore | A770 | YunCore A770
yuncore_a782 | YunCore | A782 | YunCore A782
yuncore_a930 | YunCore | A930 | YunCore A930
yuncore_xd3200 | YunCore | XD3200 | YunCore XD3200
yuncore_xd4200 | YunCore | XD4200 | YunCore XD4200
zbtlink_zbt-wd323 | ZBT | WD323 | ZBT WD323
zyxel_nbg6616 | ZyXEL | NBG6616 | ZyXEL NBG6616
zyxel_nwa1100-nh | ZyXEL | NWA1100 | ZyXEL NWA1100 (NH)
zyxel_nwa1121-ni | ZyXEL | NWA1121 | ZyXEL NWA1121 (NI)
zyxel_nwa1123-ac | ZyXEL | NWA1123 | ZyXEL NWA1123 (AC)
zyxel_nwa1123-ni | ZyXEL | NWA1123 | ZyXEL NWA1123 (NI)
