# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
dlink_dap-3320-a1 | D-Link | DAP-3320 | D-Link DAP-3320 (A1)
dlink_dap-3662-a1 | D-Link | DAP-3662 | D-Link DAP-3662 (A1)
dlink_dch-g020-a1 | D-Link | DCH-G020 | D-Link DCH-G020 (A1)
dlink_dir-505 | D-Link | DIR-505 | D-Link DIR-505
dlink_dir-629-a1 | D-Link | DIR-629 | D-Link DIR-629 (A1)
dlink_dir-825-b1 | D-Link | DIR-825 | D-Link DIR-825 (B1)
dlink_dir-825-c1 | D-Link | DIR-825 | D-Link DIR-825 (C1)
dlink_dir-835-a1 | D-Link | DIR-835 | D-Link DIR-835 (A1)
dlink_dir-842-c1 | D-Link | DIR-842 | D-Link DIR-842 (C1)
dlink_dir-842-c2 | D-Link | DIR-842 | D-Link DIR-842 (C2)
dlink_dir-842-c3 | D-Link | DIR-842 | D-Link DIR-842 (C3)
dlink_dir-859-a1 | D-Link | DIR-859 | D-Link DIR-859 (A1)
dlink_dir-859-a3 | D-Link | DIR-859 | D-Link DIR-859 (A3)
dlink_dir-869-a1 | D-Link | DIR-869 | D-Link DIR-869 (A1)
elecom_wrc-1750ghbk2-i | ELECOM | WRC-1750GHBK2-I/C | ELECOM WRC-1750GHBK2-I/C
elecom_wrc-300ghbk2-i | ELECOM | WRC-300GHBK2-I | ELECOM WRC-300GHBK2-I
embeddedwireless_balin | Embedded Wireless | Balin | Embedded Wireless Balin
embeddedwireless_dorin | Embedded Wireless | Dorin | Embedded Wireless Dorin
engenius_eap1200h | EnGenius | EAP1200H | EnGenius EAP1200H
engenius_eap1750h | EnGenius | EAP1750H | EnGenius EAP1750H
engenius_eap300-v2 | EnGenius | EAP300 | EnGenius EAP300 (v2)
engenius_eap600 | EnGenius | EAP600 | EnGenius EAP600
engenius_ecb1200 | EnGenius | ECB1200 | EnGenius ECB1200
engenius_ecb1750 | EnGenius | ECB1750 | EnGenius ECB1750
engenius_ecb600 | EnGenius | ECB600 | EnGenius ECB600
engenius_ens202ext-v1 | EnGenius | ENS202EXT | EnGenius ENS202EXT (v1)
engenius_enstationac-v1 | EnGenius | EnStationAC | EnGenius EnStationAC (v1)
engenius_epg5000 | EnGenius | EPG5000 | EnGenius EPG5000
engenius_esr1200 | EnGenius | ESR1200 | EnGenius ESR1200
engenius_esr1750 | EnGenius | ESR1750 | EnGenius ESR1750
engenius_esr900 | EnGenius | ESR900 | EnGenius ESR900
engenius_ews511ap | EnGenius | EWS511AP | EnGenius EWS511AP
engenius_ews660ap | EnGenius | EWS660AP | EnGenius EWS660AP
enterasys_ws-ap3705i | Enterasys | WS-AP3705i | Enterasys WS-AP3705i
etactica_eg200 | eTactica | EG200 | eTactica EG200
extreme-networks_ws-ap3805i | Extreme Networks | WS-AP3805i | Extreme Networks WS-AP3805i
fortinet_fap-221-b | Fortinet | FAP-221-B | Fortinet FAP-221-B
glinet_6408 | GL.iNet | 6408 | GL.iNet 6408
glinet_6416 | GL.iNet | 6416 | GL.iNet 6416
glinet_gl-ar150 | GL.iNet | GL-AR150 | GL.iNet GL-AR150
glinet_gl-ar300m-lite | GL.iNet | GL-AR300M | GL.iNet GL-AR300M (Lite)
glinet_gl-ar300m16 | GL.iNet | GL-AR300M16 | GL.iNet GL-AR300M16
glinet_gl-ar750 | GL.iNet | GL-AR750 | GL.iNet GL-AR750
glinet_gl-mifi | GL.iNET | GL-MiFi | GL.iNET GL-MiFi
glinet_gl-usb150 | GL.iNET | GL-USB150 | GL.iNET GL-USB150
glinet_gl-x300b | GL.iNet | GL-X300B | GL.iNet GL-X300B
glinet_gl-x750 | GL.iNet | GL-X750 | GL.iNet GL-X750
hak5_lan-turtle | Hak5 | LAN Turtle | Hak5 LAN Turtle
hak5_packet-squirrel | Hak5 | Packet Squirrel | Hak5 Packet Squirrel
hak5_wifi-pineapple-nano | Hak5 | WiFi Pineapple NANO | Hak5 WiFi Pineapple NANO
hiwifi_hc6361 | HiWiFi | HC6361 | HiWiFi HC6361
huawei_ap5030dn | Huawei | AP5030DN | Huawei AP5030DN
iodata_etg3-r | I-O DATA | ETG3-R | I-O DATA ETG3-R
iodata_wn-ac1167dgr | I-O DATA | WN-AC1167DGR | I-O DATA WN-AC1167DGR
iodata_wn-ac1600dgr | I-O DATA | WN-AC1600DGR | I-O DATA WN-AC1600DGR
iodata_wn-ac1600dgr2 | I-O DATA | WN-AC1600DGR2/DGR3 | I-O DATA WN-AC1600DGR2/DGR3
iodata_wn-ag300dgr | I-O DATA | WN-AG300DGR | I-O DATA WN-AG300DGR
jjplus_ja76pf2 | jjPlus | JA76PF2 | jjPlus JA76PF2
jjplus_jwap230 | jjPlus | JWAP230 | jjPlus JWAP230
joyit_jt-or750i | Joy-IT | JT-OR750i | Joy-IT JT-OR750i
kuwfi_c910 | KuWFi | C910 | KuWFi C910
letv_lba-047-ch | Letv | LBA-047-CH | Letv LBA-047-CH
librerouter_librerouter-v1 | Librerouter | LibreRouter | Librerouter LibreRouter (v1)
meraki_mr12 | Meraki | MR12 | Meraki MR12
meraki_mr16 | Meraki | MR16 | Meraki MR16
mercury_mw4530r-v1 | Mercury | MW4530R | Mercury MW4530R (v1)
nec_wf1200cr | NEC | Aterm WF1200CR | NEC Aterm WF1200CR
nec_wg1200cr | NEC | Aterm WG1200CR | NEC Aterm WG1200CR
nec_wg800hp | NEC | Aterm WG800HP | NEC Aterm WG800HP
netgear_ex7300 | NETGEAR | EX7300 | NETGEAR EX7300
netgear_ex7300-v2 | NETGEAR | EX7300 | NETGEAR EX7300 (v2)
netgear_wndap360 | NETGEAR | WNDAP360 | NETGEAR WNDAP360
netgear_wndr3700 | NETGEAR | WNDR3700 | NETGEAR WNDR3700 (v1)
netgear_wndr3700-v2 | NETGEAR | WNDR3700 | NETGEAR WNDR3700 (v2)
netgear_wndr3800 | NETGEAR | WNDR3800 | NETGEAR WNDR3800
netgear_wndr3800ch | NETGEAR | WNDR3800CH | NETGEAR WNDR3800CH
netgear_wndrmac-v1 | NETGEAR | WNDRMAC | NETGEAR WNDRMAC (v1)
netgear_wndrmac-v2 | NETGEAR | WNDRMAC | NETGEAR WNDRMAC (v2)
netgear_wnr2200-16m | NETGEAR | WNR2200 | NETGEAR WNR2200 (16M)
netgear_wnr2200-8m | NETGEAR | WNR2200 | NETGEAR WNR2200 (8M)
ocedo_koala | Ocedo | Koala | Ocedo Koala
ocedo_raccoon | Ocedo | Raccoon | Ocedo Raccoon
ocedo_ursus | Ocedo | Ursus | Ocedo Ursus
onion_omega | Onion | Omega | Onion Omega
openmesh_a40 | OpenMesh | A40 | OpenMesh A40
openmesh_a60 | OpenMesh | A60 | OpenMesh A60
