# OpenWrt Device Search Helper
# Version: 23.05.5
# Generated: Sun Apr 20 17:23:19 CEST 2025
# Format: device_id | platform/target | vendor | model

8dev_habanero-dvk | ipq40xx/generic | 8devices | Habanero DVK
tplink_tl-wr1043nd-v4 | ath79/generic | TP-Link | TL-WR1043N/ND
tplink_tl-wr1045nd-v2 | ath79/generic | TP-Link | TL-WR1045ND
tplink_tl-wr2543-v1 | ath79/generic | TP-Link | TL-WR2543N/ND
tplink_tl-wr810n-v1 | ath79/generic | TP-Link | TL-WR810N
tplink_tl-wr841hp-v2 | ath79/generic | TP-Link | TL-WR841HP
tplink_tl-wr841hp-v3 | ath79/generic | TP-Link | TL-WR841HP
tplink_tl-wr842n-v3 | ath79/generic | TP-Link | TL-WR842N
tplink_tl-wr902ac-v1 | ath79/generic | TP-Link | TL-WR902AC
tplink_tl-wr941hp-v1 | ath79/generic | TP-Link | TL-WR941HP
tplink_wbs210-v1 | ath79/generic | TP-Link | WBS210
tplink_wbs210-v2 | ath79/generic | TP-Link | WBS210
tplink_wbs510-v1 | ath79/generic | TP-Link | WBS510
tplink_wbs510-v2 | ath79/generic | TP-Link | WBS510
trendnet_tew-673gru | ath79/generic | Trendnet | TEW-673GRU
trendnet_tew-823dru | ath79/generic | Trendnet | TEW-823DRU
ubnt_aircube-ac | ath79/generic | Ubiquiti | airCube AC
ubnt_aircube-isp | ath79/generic | Ubiquiti | airCube ISP
ubnt_bullet-ac | ath79/generic | Ubiquiti | Bullet AC
ubnt_bullet-m-xw | ath79/generic | Ubiquiti | Bullet M
ubnt_edgeswitch-5xp | ath79/generic | Ubiquiti | EdgeSwitch 5XP
ubnt_lap-120 | ath79/generic | Ubiquiti | LiteAP ac (LAP-120)
ubnt_litebeam-ac-gen2 | ath79/generic | Ubiquiti | LiteBeam AC
ubnt_nanobeam-ac | ath79/generic | Ubiquiti | NanoBeam AC
ubnt_nanobeam-ac-gen2 | ath79/generic | Ubiquiti | NanoBeam AC
ubnt_nanobeam-ac-xc | ath79/generic | Ubiquiti | NanoBeam AC
ubnt_nanobeam-m5-xw | ath79/generic | Ubiquiti | NanoBeam M5
ubnt_nanostation-ac | ath79/generic | Ubiquiti | Nanostation AC
ubnt_nanostation-ac-loco | ath79/generic | Ubiquiti | Nanostation AC loco
ubnt_nanostation-loco-m-xw | ath79/generic | Ubiquiti | Nanostation Loco M
ubnt_nanostation-m-xw | ath79/generic | Ubiquiti | Nanostation M
ubnt_powerbeam-5ac-500 | ath79/generic | Ubiquiti | PowerBeam 5AC
ubnt_powerbeam-5ac-gen2 | ath79/generic | Ubiquiti | PowerBeam 5AC
ubnt_powerbeam-m2-xw | ath79/generic | Ubiquiti | PowerBeam M2
ubnt_powerbeam-m5-xw | ath79/generic | Ubiquiti | PowerBeam M5
ubnt_powerbridge-m | ath79/generic | Ubiquiti | PowerBridge M
ubnt_rocket-5ac-lite | ath79/generic | Ubiquiti | Rocket 5AC
ubnt_rocket-m | ath79/generic | Ubiquiti | Rocket M
ubnt_routerstation | ath79/generic | Ubiquiti | RouterStation
ubnt_routerstation-pro | ath79/generic | Ubiquiti | RouterStation Pro
ubnt_uk-ultra | ath79/generic | Ubiquiti | UniFi Swiss Army Knife Ultra
ubnt_unifi-ap | ath79/generic | Ubiquiti | UniFi AP
ubnt_unifi-ap-lr | ath79/generic | Ubiquiti | UniFi AP
ubnt_unifi-ap-outdoor-plus | ath79/generic | Ubiquiti | UniFi AP Outdoor+
ubnt_unifi-ap-pro | ath79/generic | Ubiquiti | UniFi AP Pro
ubnt_unifiac-lite | ath79/generic | Ubiquiti | UniFi AC Lite
ubnt_unifiac-lr | ath79/generic | Ubiquiti | UniFi AC LR
ubnt_unifiac-mesh | ath79/generic | Ubiquiti | UniFi AC Mesh
ubnt_unifiac-mesh-pro | ath79/generic | Ubiquiti | UniFi AC Mesh Pro
ubnt_unifiac-pro | ath79/generic | Ubiquiti | UniFi AC Pro
wallys_dr531 | ath79/generic | Wallys | DR531
watchguard_ap100 | ath79/generic | WatchGuard | AP100
watchguard_ap200 | ath79/generic | WatchGuard | AP200
watchguard_ap300 | ath79/generic | WatchGuard | AP300
wd_mynet-n600 | ath79/generic | Western Digital | My Net N600
wd_mynet-n750 | ath79/generic | Western Digital | My Net N750
winchannel_wb2000 | ath79/generic | Winchannel | WB2000
xiaomi_aiot-ac2350 | ath79/generic | Xiaomi | AIoT AC2350
xiaomi_mi-router-4q | ath79/generic | Xiaomi | Mi Router 4Q
yuncore_a770 | ath79/generic | YunCore | A770
yuncore_a782 | ath79/generic | YunCore | A782
yuncore_a930 | ath79/generic | YunCore | A930
yuncore_xd3200 | ath79/generic | YunCore | XD3200
yuncore_xd4200 | ath79/generic | YunCore | XD4200
zbtlink_zbt-wd323 | ath79/generic | ZBT | WD323
zyxel_nbg6616 | ath79/generic | ZyXEL | NBG6616
zyxel_nwa1100-nh | ath79/generic | ZyXEL | NWA1100
zyxel_nwa1121-ni | ath79/generic | ZyXEL | NWA1121
zyxel_nwa1123-ac | ath79/generic | ZyXEL | NWA1123
zyxel_nwa1123-ni | ath79/generic | ZyXEL | NWA1123
8dev_rambutan | ath79/nand | 8devices | Rambutan
aerohive_hiveap-121 | ath79/nand | Aerohive | HiveAP 121
domywifi_dw33d | ath79/nand | DomyWifi | DW33D
dongwon_dw02-412h-128m | ath79/nand | Dongwon T&I | DW02-412H
dongwon_dw02-412h-64m | ath79/nand | Dongwon T&I | DW02-412H
glinet_gl-ar300m-nand | ath79/nand | GL.iNet | GL-AR300M
glinet_gl-ar300m-nor | ath79/nand | GL.iNet | GL-AR300M
glinet_gl-ar750s-nor | ath79/nand | GL.iNet | GL-AR750S
glinet_gl-ar750s-nor-nand | ath79/nand | GL.iNet | GL-AR750S
glinet_gl-e750 | ath79/nand | GL.iNet | GL-E750
glinet_gl-x1200-nor | ath79/nand | GL.iNet | GL-X1200
glinet_gl-x1200-nor-nand | ath79/nand | GL.iNet | GL-X1200
glinet_gl-xe300 | ath79/nand | GL.iNet | GL-XE300
linksys_ea4500-v3 | ath79/nand | Linksys | EA4500
meraki_mr18 | ath79/nand | Meraki | MR18
netgear_pgzng1 | ath79/nand | NETGEAR | PGZNG1
netgear_r6100 | ath79/nand | NETGEAR | R6100
netgear_wndr3700-v4 | ath79/nand | NETGEAR | WNDR3700
netgear_wndr4300 | ath79/nand | NETGEAR | WNDR4300
netgear_wndr4300-v2 | ath79/nand | NETGEAR | WNDR4300
netgear_wndr4300sw | ath79/nand | NETGEAR | WNDR4300SW
netgear_wndr4300tn | ath79/nand | NETGEAR | WNDR4300TN
netgear_wndr4500-v3 | ath79/nand | NETGEAR | WNDR4500
zte_mf281 | ath79/nand | ZTE | MF281
zte_mf282 | ath79/nand | ZTE | MF282
zte_mf286 | ath79/nand | ZTE | MF286
zte_mf286a | ath79/nand | ZTE | MF286A
zte_mf286r | ath79/nand | ZTE | MF286R
zyxel_emg2926_q10a | ath79/nand | ZyXEL | EMG2926-Q10A
zyxel_nbg6716 | ath79/nand | ZyXEL | NBG6716
arris_tr4400-v2 | ipq806x/generic | Arris | TR4400
askey_rt4230w-rev6 | ipq806x/generic | Askey | RT4230W
asrock_g10 | ipq806x/generic | ASRock | G10
buffalo_wxr-2533dhp | ipq806x/generic | Buffalo | WXR-2533DHP
compex_wpq864 | ipq806x/generic | Compex | WPQ864
edgecore_ecw5410 | ipq806x/generic | Edgecore | ECW5410
linksys_ea7500-v1 | ipq806x/generic | Linksys | EA7500
linksys_ea8500 | ipq806x/generic | Linksys | EA8500
meraki_mr42 | ipq806x/generic | Cisco Meraki | MR42
meraki_mr52 | ipq806x/generic | Cisco Meraki | MR52
nec_wg2600hp | ipq806x/generic | NEC | Aterm WG2600HP
nec_wg2600hp3 | ipq806x/generic | NEC Platforms | Aterm WG2600HP3
netgear_d7800 | ipq806x/generic | NETGEAR | Nighthawk X4 D7800
netgear_r7500 | ipq806x/generic | NETGEAR | Nighthawk X4 R7500
netgear_r7500v2 | ipq806x/generic | NETGEAR | Nighthawk X4 R7500
netgear_r7800 | ipq806x/generic | NETGEAR | Nighthawk X4S R7800
netgear_xr500 | ipq806x/generic | NETGEAR | Nighthawk XR500
nokia_ac400i | ipq806x/generic | Nokia | AC400i
qcom_ipq8064-ap148 | ipq806x/generic | Qualcomm | AP148
qcom_ipq8064-ap148-legacy | ipq806x/generic | Qualcomm | AP148
qcom_ipq8064-ap161 | ipq806x/generic | Qualcomm | AP161
qcom_ipq8064-db149 | ipq806x/generic | Qualcomm | DB149
tplink_ad7200 | ipq806x/generic | TP-Link | AD7200
tplink_c2600 | ipq806x/generic | TP-Link | Archer C2600
tplink_vr2600v | ipq806x/generic | TP-Link | Archer VR2600v
ubnt_unifi-ac-hd | ipq806x/generic | Ubiquiti | UniFi AC HD
zyxel_nbg6817 | ipq806x/generic | ZyXEL | NBG6817
adslr_g7 | ramips/mt7621 | ADSLR | G7
afoundry_ew1200 | ramips/mt7621 | AFOUNDRY | EW1200
alfa-network_ax1800rm | ramips/mt7621 | ALFA Network | AX1800RM
alfa-network_quad-e4g | ramips/mt7621 | ALFA Network | Quad-E4G
ampedwireless_ally-00x19k | ramips/mt7621 | Amped Wireless | ALLY-00X19K
ampedwireless_ally-r1900k | ramips/mt7621 | Amped Wireless | ALLY-R1900K
arcadyan_we420223-99 | ramips/mt7621 | Arcadyan | WE420223-99
asiarf_ap7621-001 | ramips/mt7621 | AsiaRF | AP7621-001
asiarf_ap7621-nv1 | ramips/mt7621 | AsiaRF | AP7621-NV1
asus_rp-ac56 | ramips/mt7621 | ASUS | RP-AC56
asus_rp-ac87 | ramips/mt7621 | ASUS | RP-AC87
asus_rt-ac57u-v1 | ramips/mt7621 | ASUS | RT-AC57U
asus_rt-ac65p | ramips/mt7621 | ASUS | RT-AC65P
asus_rt-ac85p | ramips/mt7621 | ASUS | RT-AC85P
asus_rt-ax53u | ramips/mt7621 | ASUS | RT-AX53U
asus_rt-ax54 | ramips/mt7621 | ASUS | RT-AX54
asus_rt-n56u-b1 | ramips/mt7621 | ASUS | RT-N56U
beeline_smartbox-flash | ramips/mt7621 | Beeline | SmartBox Flash
beeline_smartbox-giga | ramips/mt7621 | Beeline | SmartBox GIGA
beeline_smartbox-pro | ramips/mt7621 | Beeline | SmartBox PRO
beeline_smartbox-turbo | ramips/mt7621 | Beeline | SmartBox TURBO
beeline_smartbox-turbo-plus | ramips/mt7621 | Beeline | SmartBox TURBO+
belkin_rt1800 | ramips/mt7621 | Belkin | RT1800
bolt_arion | ramips/mt7621 | BOLT | Arion
buffalo_wsr-1166dhp | ramips/mt7621 | Buffalo | WSR-1166DHP
buffalo_wsr-2533dhpl | ramips/mt7621 | Buffalo | WSR-2533DHPL
buffalo_wsr-600dhp | ramips/mt7621 | Buffalo | WSR-600DHP
comfast_cf-e390ax | ramips/mt7621 | ComFast | CF-E390AX
comfast_cf-ew72-v2 | ramips/mt7621 | ComFast | CF-EW72 V2
cudy_m1800 | ramips/mt7621 | Cudy | M1800
cudy_wr1300-v1 | ramips/mt7621 | Cudy | WR1300
cudy_wr1300-v2 | ramips/mt7621 | Cudy | WR1300
cudy_wr1300-v3 | ramips/mt7621 | Cudy | WR1300
cudy_wr2100 | ramips/mt7621 | Cudy | WR2100
cudy_x6-v1 | ramips/mt7621 | Cudy | X6
cudy_x6-v2 | ramips/mt7621 | Cudy | X6
d-team_newifi-d2 | ramips/mt7621 | D-Team | Newifi D2
d-team_pbr-m1 | ramips/mt7621 | PandoraBox | PBR-M1
dlink_covr-x1860-a1 | ramips/mt7621 | D-Link | COVR-X1860
dlink_dap-1620-b1 | ramips/mt7621 | D-Link | DAP-1620
dlink_dap-x1860-a1 | ramips/mt7621 | D-Link | DAP-X1860
dlink_dir-1935-a1 | ramips/mt7621 | D-Link | DIR-1935
dlink_dir-1960-a1 | ramips/mt7621 | D-Link | DIR-1960
dlink_dir-2640-a1 | ramips/mt7621 | D-Link | DIR-2640
dlink_dir-2660-a1 | ramips/mt7621 | D-Link | DIR-2660
dlink_dir-3060-a1 | ramips/mt7621 | D-Link | DIR-3060
dlink_dir-853-a1 | ramips/mt7621 | D-Link | DIR-853
dlink_dir-853-a3 | ramips/mt7621 | D-Link | DIR-853
dlink_dir-853-r1 | ramips/mt7621 | D-Link | DIR-853
dlink_dir-860l-b1 | ramips/mt7621 | D-Link | DIR-860L
dlink_dir-867-a1 | ramips/mt7621 | D-Link | DIR-867
dlink_dir-878-a1 | ramips/mt7621 | D-Link | DIR-878
dlink_dir-878-r1 | ramips/mt7621 | D-Link | DIR-878
dlink_dir-882-a1 | ramips/mt7621 | D-Link | DIR-882
dlink_dir-882-r1 | ramips/mt7621 | D-Link | DIR-882
dual-q_h721 | ramips/mt7621 | Dual-Q | H721
edimax_ra21s | ramips/mt7621 | Edimax | RA21S
edimax_re23s | ramips/mt7621 | Edimax | RE23S
edimax_rg21s | ramips/mt7621 | Edimax | Gemini AC2600 RG21S
elecom_wrc-1167ghbk2-s | ramips/mt7621 | ELECOM | WRC-1167GHBK2-S
elecom_wrc-1167gs2-b | ramips/mt7621 | ELECOM | WRC-1167GS2-B
elecom_wrc-1167gst2 | ramips/mt7621 | ELECOM | WRC-1167GST2
elecom_wrc-1750gs | ramips/mt7621 | ELECOM | WRC-1750GS
elecom_wrc-1750gst2 | ramips/mt7621 | ELECOM | WRC-1750GST2
elecom_wrc-1750gsv | ramips/mt7621 | ELECOM | WRC-1750GSV
elecom_wrc-1900gst | ramips/mt7621 | ELECOM | WRC-1900GST
elecom_wrc-2533ghbk-i | ramips/mt7621 | ELECOM | WRC-2533GHBK-I
elecom_wrc-2533ghbk2-t | ramips/mt7621 | ELECOM | WRC-2533GHBK2-T
elecom_wrc-2533gs2 | ramips/mt7621 | ELECOM | WRC-2533GS2
elecom_wrc-2533gst | ramips/mt7621 | ELECOM | WRC-2533GST
elecom_wrc-2533gst2 | ramips/mt7621 | ELECOM | WRC-2533GST2
etisalat_s3 | ramips/mt7621 | Etisalat | S3
firefly_firewrt | ramips/mt7621 | Firefly | FireWRT
gehua_ghl-r-001 | ramips/mt7621 | GeHua | GHL-R-001
glinet_gl-mt1300 | ramips/mt7621 | GL.iNet | GL-MT1300
gnubee_gb-pc1 | ramips/mt7621 | GnuBee | Personal Cloud One
gnubee_gb-pc2 | ramips/mt7621 | GnuBee | Personal Cloud Two
h3c_tx1800-plus | ramips/mt7621 | H3C | TX1800 Plus
h3c_tx1801-plus | ramips/mt7621 | H3C | TX1801 Plus
h3c_tx1806 | ramips/mt7621 | H3C | TX1806
haier_har-20s2u1 | ramips/mt7621 | Haier | HAR-20S2U1
hanyang_hyc-g920 | ramips/mt7621 | Hanyang | CJ-Hello HYC-G920
hilink_hlk-7621a-evb | ramips/mt7621 | HiLink | HLK-7621A evaluation board
hiwifi_hc5962 | ramips/mt7621 | HiWiFi | HC5962
huasifei_ws1208v2 | ramips/mt7621 | Huasifei | WS1208V2
humax_e10 | ramips/mt7621 | HUMAX | E10
iodata_wn-ax1167gr | ramips/mt7621 | I-O DATA | WN-AX1167GR
iodata_wn-ax1167gr2 | ramips/mt7621 | I-O DATA | WN-AX1167GR2
iodata_wn-ax2033gr | ramips/mt7621 | I-O DATA | WN-AX2033GR
iodata_wn-dx1167r | ramips/mt7621 | I-O DATA | WN-DX1167R
iodata_wn-dx1200gr | ramips/mt7621 | I-O DATA | WN-DX1200GR
iodata_wn-dx2033gr | ramips/mt7621 | I-O DATA | WN-DX2033GR
iodata_wn-gx300gr | ramips/mt7621 | I-O DATA | WN-GX300GR
iodata_wnpr2600g | ramips/mt7621 | I-O DATA | WNPR2600G
iptime_a3002mesh | ramips/mt7621 | ipTIME | A3002MESH
iptime_a3004ns-dual | ramips/mt7621 | ipTIME | A3004NS-dual
iptime_a3004t | ramips/mt7621 | ipTIME | A3004T
iptime_a6004ns-m | ramips/mt7621 | ipTIME | A6004NS-M
iptime_a6ns-m | ramips/mt7621 | ipTIME | A6ns-M
iptime_a8004t | ramips/mt7621 | ipTIME | A8004T
iptime_ax2004m | ramips/mt7621 | ipTIME | AX2004M
iptime_t5004 | ramips/mt7621 | ipTIME | T5004
jcg_jhr-ac876m | ramips/mt7621 | JCG | JHR-AC876M
jcg_q20 | ramips/mt7621 | JCG | Q20
jcg_y2 | ramips/mt7621 | JCG | Y2
keenetic_kn-3010 | ramips/mt7621 | Keenetic | KN-3010
lenovo_newifi-d1 | ramips/mt7621 | Lenovo | Newifi D1
linksys_e5600 | ramips/mt7621 | Linksys | E5600
linksys_e7350 | ramips/mt7621 | Linksys | E7350
linksys_ea6350-v4 | ramips/mt7621 | Linksys | EA6350
linksys_ea7300-v1 | ramips/mt7621 | Linksys | EA7300
linksys_ea7300-v2 | ramips/mt7621 | Linksys | EA7300
linksys_ea7500-v2 | ramips/mt7621 | Linksys | EA7500
linksys_ea8100-v1 | ramips/mt7621 | Linksys | EA8100
linksys_ea8100-v2 | ramips/mt7621 | Linksys | EA8100
linksys_re6500 | ramips/mt7621 | Linksys | RE6500
linksys_re7000 | ramips/mt7621 | Linksys | RE7000
mediatek_ap-mt7621a-v60 | ramips/mt7621 | Mediatek | AP-MT7621A-V60 EVB
mediatek_mt7621-eval-board | ramips/mt7621 | MediaTek | MT7621 EVB
meig_slt866 | ramips/mt7621 | MeiG | SLT866
mercusys_mr70x-v1 | ramips/mt7621 | MERCUSYS | MR70X
mikrotik_ltap-2hnd | ramips/mt7621 | MikroTik | LtAP-2HnD
mikrotik_routerboard-750gr3 | ramips/mt7621 | MikroTik | RouterBOARD 750Gr3
mikrotik_routerboard-760igs | ramips/mt7621 | MikroTik | RouterBOARD 760iGS
mikrotik_routerboard-m11g | ramips/mt7621 | MikroTik | RouterBOARD M11G
mikrotik_routerboard-m33g | ramips/mt7621 | MikroTik | RouterBOARD M33G
mqmaker_witi | ramips/mt7621 | MQmaker | WiTi
mtc_wr1201 | ramips/mt7621 | MTC | Wireless Router WR1201
mts_wg430223 | ramips/mt7621 | MTS | WG430223
netgear_eax12 | ramips/mt7621 | NETGEAR | EAX12
netgear_ex6150 | ramips/mt7621 | NETGEAR | EX6150
netgear_r6220 | ramips/mt7621 | NETGEAR | R6220
netgear_r6260 | ramips/mt7621 | NETGEAR | R6260
netgear_r6350 | ramips/mt7621 | NETGEAR | R6350
netgear_r6700-v2 | ramips/mt7621 | NETGEAR | R6700
netgear_r6800 | ramips/mt7621 | NETGEAR | R6800
netgear_r6850 | ramips/mt7621 | NETGEAR | R6850
netgear_r6900-v2 | ramips/mt7621 | NETGEAR | R6900
netgear_r7200 | ramips/mt7621 | NETGEAR | R7200
netgear_r7450 | ramips/mt7621 | NETGEAR | R7450
netgear_wac104 | ramips/mt7621 | NETGEAR | WAC104
netgear_wac124 | ramips/mt7621 | NETGEAR | WAC124
netgear_wax202 | ramips/mt7621 | NETGEAR | WAX202
netgear_wndr3700-v5 | ramips/mt7621 | NETGEAR | WNDR3700
netis_wf2881 | ramips/mt7621 | NETIS | WF2881
oraybox_x3a | ramips/mt7621 | OrayBox | X3A
phicomm_k2p | ramips/mt7621 | Phicomm | K2P
planex_vr500 | ramips/mt7621 | Planex | VR500
raisecom_msg1500-x-00 | ramips/mt7621 | RAISECOM | MSG1500
renkforce_ws-wn530hp3-a | ramips/mt7621 | Renkforce | WS-WN530HP3-A
rostelecom_rt-fe-1a | ramips/mt7621 | Rostelecom | RT-FE-1A
rostelecom_rt-sf-1 | ramips/mt7621 | Rostelecom | RT-SF-1
samknows_whitebox-v8 | ramips/mt7621 | SamKnows | Whitebox 8
sercomm_na502 | ramips/mt7621 | SERCOMM | NA502
sercomm_na502s | ramips/mt7621 | SERCOMM | NA502S
sim_simax1800t | ramips/mt7621 | SIM | SIMAX1800T
snr_snr-cpe-me1 | ramips/mt7621 | SNR | SNR-CPE-ME1
snr_snr-cpe-me2-lite | ramips/mt7621 | SNR | SNR-CPE-ME2-Lite
snr_snr-cpe-me2-sfp | ramips/mt7621 | SNR | SNR-CPE-ME2-SFP
storylink_sap-g3200u3 | ramips/mt7621 | STORYLiNK | SAP-G3200U3
telco-electronics_x1 | ramips/mt7621 | Telco Electronics | X1
tenbay_t-mb5eu-v01 | ramips/mt7621 | Tenbay | T-MB5EU-V01
thunder_timecloud | ramips/mt7621 | Thunder | Timecloud
totolink_a7000r | ramips/mt7621 | TOTOLINK | A7000R
totolink_x5000r | ramips/mt7621 | TOTOLINK | X5000R
tozed_zlt-s12-pro | ramips/mt7621 | TOZED | ZLT S12 PRO
tplink_archer-a6-v3 | ramips/mt7621 | TP-Link | Archer A6
tplink_archer-ax23-v1 | ramips/mt7621 | TP-Link | Archer AX23
tplink_archer-c6-v3 | ramips/mt7621 | TP-Link | Archer C6
tplink_archer-c6u-v1 | ramips/mt7621 | TP-Link | Archer C6U
tplink_deco-m4r-v4 | ramips/mt7621 | TP-Link | Deco M4R
tplink_eap235-wall-v1 | ramips/mt7621 | TP-Link | EAP235-Wall
tplink_eap613-v1 | ramips/mt7621 | TP-Link | EAP613
tplink_eap615-wall-v1 | ramips/mt7621 | TP-Link | EAP615-Wall
tplink_ec330-g5u-v1 | ramips/mt7621 | TP-Link | EC330-G5u
tplink_er605-v2 | ramips/mt7621 | TP-Link | ER605
tplink_ex220-v1 | ramips/mt7621 | TP-Link | EX220
tplink_mr600-v2-eu | ramips/mt7621 | TP-Link | MR600
tplink_re350-v1 | ramips/mt7621 | TP-Link | RE350
tplink_re500-v1 | ramips/mt7621 | TP-Link | RE500
tplink_re650-v1 | ramips/mt7621 | TP-Link | RE650
tplink_re650-v2 | ramips/mt7621 | TP-Link | RE650
tplink_tl-wpa8631p-v3 | ramips/mt7621 | TP-Link | TL-WPA8631P
ubnt_edgerouter-x | ramips/mt7621 | Ubiquiti | EdgeRouter X
ubnt_edgerouter-x-sfp | ramips/mt7621 | Ubiquiti | EdgeRouter X SFP
ubnt_unifi-6-lite | ramips/mt7621 | Ubiquiti | UniFi U6 Lite
ubnt_unifi-flexhd | ramips/mt7621 | Ubiquiti | UniFi FlexHD
ubnt_unifi-nanohd | ramips/mt7621 | Ubiquiti | UniFi nanoHD
ubnt_usw-flex | ramips/mt7621 | Ubiquiti | UniFi Switch Flex
unielec_u7621-01-16m | ramips/mt7621 | UniElec | U7621-01
unielec_u7621-06-16m | ramips/mt7621 | UniElec | U7621-06
unielec_u7621-06-32m | ramips/mt7621 | UniElec | U7621-06
unielec_u7621-06-64m | ramips/mt7621 | UniElec | U7621-06
wavlink_wl-wn531a6 | ramips/mt7621 | Wavlink | WL-WN531A6
wavlink_wl-wn533a8 | ramips/mt7621 | Wavlink | WL-WN533A8
wavlink_ws-wn572hp3-4g | ramips/mt7621 | Wavlink | WS-WN572HP3
wevo_11acnas | ramips/mt7621 | WeVO | 11AC NAS Router
wevo_w2914ns-v2 | ramips/mt7621 | WeVO | W2914NS
wifire_s1500-nbn | ramips/mt7621 | WiFire | S1500.NBN
winstars_ws-wn583a6 | ramips/mt7621 | Winstars | WS-WN583A6
xiaomi_mi-router-3-pro | ramips/mt7621 | Xiaomi | Mi Router 3 Pro
xiaomi_mi-router-3g | ramips/mt7621 | Xiaomi | Mi Router 3G
xiaomi_mi-router-3g-v2 | ramips/mt7621 | Xiaomi | Mi Router 3G
xiaomi_mi-router-4 | ramips/mt7621 | Xiaomi | Mi Router 4
xiaomi_mi-router-4a-gigabit | ramips/mt7621 | Xiaomi | Mi Router 4A
xiaomi_mi-router-4a-gigabit-v2 | ramips/mt7621 | Xiaomi | Mi Router 4A
xiaomi_mi-router-ac2100 | ramips/mt7621 | Xiaomi | Mi Router AC2100
xiaomi_mi-router-cr6606 | ramips/mt7621 | Xiaomi | Mi Router CR6606
xiaomi_mi-router-cr6608 | ramips/mt7621 | Xiaomi | Mi Router CR6608
xiaomi_mi-router-cr6609 | ramips/mt7621 | Xiaomi | Mi Router CR6609
xiaomi_redmi-router-ac2100 | ramips/mt7621 | Xiaomi | Redmi Router AC2100
xiaoyu_xy-c5 | ramips/mt7621 | XiaoYu | XY-C5
xzwifi_creativebox-v1 | ramips/mt7621 | CreativeBox | v1
youhua_wr1200js | ramips/mt7621 | YouHua | WR1200JS
youku_yk-l2 | ramips/mt7621 | Youku | YK-L2
yuncore_ax820 | ramips/mt7621 | YunCore | AX820
yuncore_fap640 | ramips/mt7621 | YunCore | FAP640
yuncore_fap690 | ramips/mt7621 | YunCore | FAP690
yuncore_g720 | ramips/mt7621 | YunCore | G720
z-router_zr-2660 | ramips/mt7621 | Z-ROUTER | ZR-2660
zbtlink_zbt-we1326 | ramips/mt7621 | Zbtlink | ZBT-WE1326
zbtlink_zbt-we3526 | ramips/mt7621 | Zbtlink | ZBT-WE3526
zbtlink_zbt-wg1602-16m | ramips/mt7621 | Zbtlink | ZBT-WG1602
zbtlink_zbt-wg1602-v04-16m | ramips/mt7621 | Zbtlink | ZBT-WG1602-V04
zbtlink_zbt-wg1602-v04-32m | ramips/mt7621 | Zbtlink | ZBT-WG1602-V04
zbtlink_zbt-wg1608-16m | ramips/mt7621 | Zbtlink | ZBT-WG1608
zbtlink_zbt-wg1608-32m | ramips/mt7621 | Zbtlink | ZBT-WG1608
zbtlink_zbt-wg2626 | ramips/mt7621 | Zbtlink | ZBT-WG2626
zbtlink_zbt-wg3526-16m | ramips/mt7621 | Zbtlink | ZBT-WG3526
zbtlink_zbt-wg3526-32m | ramips/mt7621 | Zbtlink | ZBT-WG3526
zio_freezio | ramips/mt7621 | ZIO | FREEZIO
zyxel_lte3301-plus | ramips/mt7621 | ZyXEL | LTE3301-PLUS
zyxel_nr7101 | ramips/mt7621 | ZyXEL | NR7101
zyxel_nwa50ax | ramips/mt7621 | ZyXEL | NWA50AX
zyxel_nwa55axe | ramips/mt7621 | ZyXEL | NWA55AXE
zyxel_wap6805 | ramips/mt7621 | ZyXEL | WAP6805
zyxel_wsm20 | ramips/mt7621 | ZyXEL | WSM20
generic | x86/64 | Generic | x86/64
rpi-4 | bcm27xx/bcm2711 | Raspberry Pi | 4B/400/CM4
