# OpenWrt Device Search Helper
# Version: 23.05.5
# Generated: Sun Apr 20 17:23:19 CEST 2025
# Format: device_id | platform/target | vendor | model

8dev_habanero-dvk | ipq40xx/generic | 8devices | Habanero DVK
smartrg_sdg-8632 | mediatek/filogic | Adtran | SDG-8632
tplink_tl-xdr4288 | mediatek/filogic | TP-Link | TL-XDR4288
tplink_tl-xdr6086 | mediatek/filogic | TP-Link | TL-XDR6086
tplink_tl-xdr6088 | mediatek/filogic | TP-Link | TL-XDR6088
ubnt_unifi-6-plus | mediatek/filogic | Ubiquiti | UniFi U6+
unielec_u7981-01-emmc | mediatek/filogic | Unielec | U7981-01
unielec_u7981-01-nand | mediatek/filogic | Unielec | U7981-01
xiaomi_mi-router-ax3000t | mediatek/filogic | Xiaomi | Mi Router AX3000T
xiaomi_mi-router-ax3000t-ubootmod | mediatek/filogic | Xiaomi | Mi Router AX3000T (OpenWrt U-Boot layout)
xiaomi_mi-router-wr30u-stock | mediatek/filogic | Xiaomi | Mi Router WR30U (stock layout)
xiaomi_mi-router-wr30u-ubootmod | mediatek/filogic | Xiaomi | Mi Router WR30U (OpenWrt U-Boot layout)
xiaomi_redmi-router-ax6000-stock | mediatek/filogic | Xiaomi | Redmi Router AX6000 (stock layout)
xiaomi_redmi-router-ax6000-ubootmod | mediatek/filogic | Xiaomi | Redmi Router AX6000 (OpenWrt U-Boot layout)
yuncore_ax835 | mediatek/filogic | YunCore | AX835
zbtlink_zbt-z8102ax | mediatek/filogic | Zbtlink | ZBT-Z8102AX
zbtlink_zbt-z8103ax | mediatek/filogic | Zbtlink | ZBT-Z8103AX
zyxel_ex5601-t0-stock | mediatek/filogic | Zyxel | EX5601-T0
zyxel_ex5601-t0-ubootmod | mediatek/filogic | Zyxel | EX5601-T0
zyxel_ex5700-telenor | mediatek/filogic | ZyXEL | EX5700 (Telenor)
zyxel_nwa50ax-pro | mediatek/filogic | ZyXEL | NWA50AX Pro
8dev_carambola2 | ath79/generic | 8devices | Carambola2
8dev_lima | ath79/generic | 8devices | Lima
adtran_bsap1800-v2 | ath79/generic | Adtran/Bluesocket | BSAP-1800
