# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/24.10.1/mediatek/filogic/profiles.json
# Generated on: Mon Apr 21 11:53:25 CEST 2025

abt_asr3000 | ABT | ASR3000 | ABT ASR3000
xiaomi_mi-router-wr30u-stock | Xiaomi | Mi Router WR30U (stock layout) | Xiaomi Mi Router WR30U (stock layout)
xiaomi_mi-router-wr30u-ubootmod | Xiaomi | Mi Router WR30U (OpenWrt U-Boot layout) | Xiaomi Mi Router WR30U (OpenWrt U-Boot layout)
xiaomi_redmi-router-ax6000-stock | Xiaomi | Redmi Router AX6000 (stock layout) | Xiaomi Redmi Router AX6000 (stock layout)
xiaomi_redmi-router-ax6000-ubootmod | Xiaomi | Redmi Router AX6000 (OpenWrt U-Boot layout) | Xiaomi Redmi Router AX6000 (OpenWrt U-Boot layout)
yuncore_ax835 | YunCore | AX835 | YunCore AX835
zbtlink_zbt-z8102ax | Zbtlink | ZBT-Z8102AX | Zbtlink ZBT-Z8102AX
zbtlink_zbt-z8103ax | Zbtlink | ZBT-Z8103AX | Zbtlink ZBT-Z8103AX
zyxel_ex5601-t0-stock | Zyxel | EX5601-T0 | Zyxel EX5601-T0 ((stock layout))
zyxel_ex5601-t0-ubootmod | Zyxel | EX5601-T0 | Zyxel EX5601-T0 ((OpenWrt U-Boot layout))
zyxel_ex5700-telenor | Zyxel | EX5700 (Telenor) | Zyxel EX5700 (Telenor)
zyxel_nwa50ax-pro | Zyxel | NWA50AX Pro | Zyxel NWA50AX Pro
